lag,real_synergy,median_synergy_cont_shuffle,p5_synergy_cont_shuffle,p95_synergy_cont_shuffle,median_synergy_blue_shuffle,p5_synergy_blue_shuffle,p95_synergy_blue_shuffle,real_info_leak,median_leak_cont_shuffle,p5_leak_cont_shuffle,p95_leak_cont_shuffle,median_leak_blue_shuffle,p5_leak_blue_shuffle,p95_leak_blue_shuffle
28,0.07929460541260844,0.026834712366165525,0.016453125965036505,0.033966590086444294,0.0,0.0,0.0,0.30849965856593475,0.315742448051041,0.30765956947710543,0.3227797568729591,0.45111724857390956,0.44400326804360574,0.4585475421510654
29,0.07775429540306951,0.023505298105983653,0.015665457816576633,0.0321727028571343,0.0,0.0,0.0,0.3096246696697041,0.3156500191458873,0.3089577887771385,0.3232485668492929,0.45036211955445227,0.44338194554927673,0.4582960976015661
30,0.07658927009275458,0.023204405091145706,0.012021885523247679,0.03126684707209532,0.0,0.0,0.0,0.3123620862381863,0.3192209205320548,0.311953140309526,0.32559760223639833,0.45081355896504205,0.4440877729148543,0.4563529285908549
31,0.07929908047205146,0.019934932931561955,0.012044195646400345,0.03074149924005293,0.000744261421582711,0.0,0.0028845855550648928,0.3113207680116475,0.32203760524383224,0.31406976362619077,0.32969636967994354,0.449759500737962,0.44392524981923437,0.4556114389059857
32,0.07796120102718038,0.02429707857822387,0.015553274804557236,0.0316968231213689,0.0016644167884662425,0.0,0.004602782821568236,0.30706135654690403,0.3191670707824762,0.3121482622760137,0.32614162677608916,0.45150238100068063,0.4439983019064078,0.45717050987804364
33,0.0779752724447128,0.02710224000304737,0.01833439728660061,0.0349594352569058,0.0035038394555300797,0.0013352242247379896,0.006831795102281415,0.3024950337893938,0.31941813909117805,0.31195474098250653,0.32584607551517075,0.4515514087728143,0.4446585997124409,0.4580067536655058
34,0.09511335330950321,0.03530110420506212,0.025803011742869687,0.043990988415035875,0.005987506209305421,0.003531154502496734,0.009052856923435866,0.30197445007397294,0.32208778809072397,0.31338555348454467,0.32989458545362976,0.4594230227850403,0.45156738906664445,0.4668173575209331
35,0.10673975886559475,0.031059954821567475,0.02208725127295458,0.0408073385461882,0.005285314478251648,0.0028668728813686156,0.008187590466461805,0.2965477762138214,0.31972863291378517,0.31172814295588475,0.3264129845576,0.46053208356561165,0.4521702710375642,0.4667093917705492
36,0.10094700269751139,0.02898365469101337,0.021023267732485036,0.035589960670946566,0.0033970470516337713,0.0010414764516264512,0.006765107217563139,0.29570476664605727,0.3192227249902223,0.31238667204843695,0.3272868307680701,0.4574028465526324,0.4510548315898437,0.4636292800807124
37,0.08927508709452031,0.026789282816928245,0.019910857871762937,0.033216884709993615,0.0010011094017488395,0.0,0.005077416063588599,0.29800174517809047,0.31802601057434343,0.3102151615676286,0.324034233174959,0.46279188408351696,0.4542767905211642,0.4697559783175911
38,0.06426644681914233,0.027350363169813756,0.021792362432022813,0.03302795426478384,0.009815812794029797,0.006598227978480387,0.014272390127874133,0.3009463737952006,0.32303095888382527,0.315738883204457,0.3297617804711003,0.4700638707699728,0.4615319440243768,0.47681445604949296
