lag,median_U1,p16_U1,p84_U1,p2_5_U1,p97_5_U1,median_U2,p16_U2,p84_U2,p2_5_U2,p97_5_U2,median_R12,p16_R12,p84_R12,p2_5_R12,p97_5_R12,median_S12,p16_S12,p84_S12,p2_5_S12,p97_5_S12,median_leak,p16_leak,p84_leak,p2_5_leak,p97_5_leak
23,0.17353435244106502,0.15950116228367173,0.19534187823262594,0.14423857899515247,0.2100313351921786,0.03673093211491022,0.02219512360605327,0.05325561120772197,0.010134220697491942,0.06602695749325488,0.4998081873550544,0.483118290279183,0.5183917201664703,0.47437122958380085,0.5301428005501824,0.28505132757509505,0.2750542580137243,0.30165673106937535,0.2560429968753584,0.31664890531947326,0.549299156121283,0.5373505755089124,0.5608186378481512,0.528713780781115,0.5672471267427649
24,0.17700574430241367,0.16088626028462405,0.19815682986193434,0.14651766402622549,0.21287897251671836,0.033888505191961946,0.01990520917143873,0.050846180731764945,0.0072052429780875595,0.06167420294300169,0.49812174729291037,0.48323955338889923,0.51439942999394,0.47259892524325975,0.5282822537121855,0.2867035563592323,0.2755997095597718,0.304398900816689,0.25883565079113596,0.31651295176516425,0.5557351175794838,0.5430665500605167,0.5665313178344864,0.5344304338567817,0.5738978722370695
25,0.17903189933577554,0.1618635927380149,0.20095544501957333,0.14613098896509807,0.21637168121941827,0.030865823291248404,0.018259488959392958,0.045134154524498024,0.006407446735145268,0.05762206726044578,0.49655838551277187,0.48277163190500305,0.5125303565427827,0.47219022377963604,0.5259216452895257,0.291137210226435,0.2778465354540716,0.30824082856173624,0.2615322140136789,0.32003606745816304,0.5614780156046872,0.5500788321614337,0.5713838681508736,0.5415995460250104,0.5785645427205396
26,0.18007193737174873,0.16212506939137256,0.19974054063148944,0.14229573652711572,0.21807274636378732,0.028048358496153253,0.016694508376991456,0.04011847339575315,0.006266106922952992,0.05578385594103226,0.4956972472042753,0.4821530501151921,0.5112775859903467,0.46902784873268366,0.5261779745388862,0.29460236350409197,0.2803375107804852,0.311826703814755,0.2661244727383213,0.3222842976933376,0.5658162595891562,0.5548699907538336,0.5774842784050795,0.5468061343727841,0.5850685160392075
27,0.18237081312244996,0.16222206604186862,0.20354923232909225,0.1393122281222015,0.22219551436000587,0.024837157387538222,0.015401755633819741,0.03586387014824982,0.0059517512057810865,0.05475497241581325,0.49403844710111877,0.48123702510346056,0.5110948419928228,0.46629326435832325,0.5276690712499997,0.297693801426792,0.28400032094311517,0.3123287455135569,0.26586381958255156,0.3277628435193531,0.5706031674074759,0.5595699925329438,0.5801096910933078,0.5504678955857394,0.5902258842143746
28,0.18574273789393939,0.16178763125834222,0.20695389700463948,0.1391124627579139,0.22399673552674734,0.02438154840685956,0.016410116897384336,0.035097645022498826,0.005429510145683548,0.05136137268029935,0.4910806923048847,0.47735174661228535,0.5085575685090956,0.4618306817305455,0.5256354081191119,0.29777058429426095,0.2850204567974167,0.31334314377356265,0.26702092272480626,0.33045371388069833,0.576060372807953,0.5629729267017279,0.5848324630397699,0.5532870573028984,0.5942498970491704
29,0.18334576165408334,0.15762268194519055,0.20588289642345722,0.1404495452493755,0.22608839560743235,0.024366232366150313,0.017349352001083552,0.03451429556962264,0.007550190377741297,0.04810314240081786,0.4898740037424791,0.4730333910441056,0.5053993295452244,0.45397627284362096,0.5238388037366871,0.3042741542755748,0.28812076135574716,0.3177587250462469,0.27256192765846304,0.3349700371097049,0.5788581407512532,0.5696511366755934,0.5881943393775071,0.5566900400561847,0.5965266209920695
30,0.17872347221570684,0.15109708955432927,0.20352689687385916,0.1358344410394847,0.221059930722239,0.02345003344455266,0.016639966463210552,0.03391626891675869,0.007533768882837837,0.046081257170658925,0.4865788366254309,0.4690622990290009,0.5060343087535683,0.4512478782934362,0.5196501726176326,0.31353174752337326,0.2939934413319967,0.3254478260388535,0.28233349540157054,0.3402535790069248,0.581149329900745,0.5719607487775756,0.5934083459001024,0.5586652656643315,0.6016048787878473
31,0.1713679763008743,0.14362793920794037,0.19505981074386444,0.12720635779966677,0.21575288959513622,0.022580927577029918,0.015000471161336456,0.03341331166979941,0.007574980476856441,0.04491603103582646,0.48277218836791475,0.46706797210063156,0.5046175887498913,0.4515133369944839,0.5172340622163253,0.3209378877868564,0.30172767639774983,0.33571746297644633,0.29139642706259306,0.35269461908407485,0.5840200044524817,0.5747807757376259,0.5956462909877482,0.5603911119149851,0.6057158822164774
32,0.16321150798520495,0.13388563571955867,0.1897356360020032,0.11931364830386736,0.21033220069724554,0.021818781342459563,0.012971655835873392,0.03369865780522864,0.008163277009846141,0.041921702071046306,0.4835166111803067,0.4685640067202848,0.5036784050098984,0.4525748194171193,0.5163056468950321,0.3299001813676801,0.3107233883250409,0.34547168685226926,0.296985267718249,0.3611193619627601,0.5875146872077691,0.5763823800190535,0.5975825668605099,0.5646761195875354,0.6076284579815456
