lag,real_cond_synergy,median_null_cond,p2_5_null_cond,p97_5_null_cond
28,0.16187505001895064,0.28977857676212593,0.22287693571005707,0.3814061408277085
29,0.17194517656932196,0.2899682015344277,0.2239680100246362,0.3905527528200149
30,0.18774565224679926,0.2934750797439511,0.22853786719338448,0.39557397860232335
31,0.19853655766346867,0.29598911657410515,0.22843908890258655,0.39977330439757847
32,0.1983419097032933,0.2992291709839663,0.22875886089698583,0.40003146591572825
33,0.19695171618802101,0.3035797891662118,0.23597682790226795,0.40160668725747944
34,0.1961186315262178,0.30605716811036937,0.2410303602908346,0.4000390395024656
35,0.20436497314314353,0.3092512412450243,0.24196968733182023,0.40962537021017636
36,0.20992035362327405,0.3119349990590771,0.2409752015447887,0.4119873893056123
37,0.22446349631677254,0.3127362053006808,0.2399194412459215,0.4069964369684855
38,0.22367350156063523,0.31712444211981716,0.23885539223445731,0.4077063125321307
39,0.22286902216089508,0.31828436613636857,0.24209855923229914,0.40339579845039913
40,0.232408382584501,0.3190479758341267,0.2410988343573633,0.411183158437446
41,0.23718705951432761,0.32041410361317085,0.24136400617886453,0.4154040116532479
42,0.2361129961479036,0.32406066798048094,0.2402332436368795,0.4112006934333109
43,0.24163401795357112,0.32611277694458374,0.23512848562456468,0.4088865352199848
44,0.24735096468983458,0.3249976917007361,0.23987925343247854,0.40388742585782716
45,0.2568423862658479,0.3295066106964924,0.2418255661865204,0.3961361338431275
46,0.25541011549853687,0.32894560419864044,0.24180497166475926,0.3878494260947356
47,0.25800665901845554,0.3313427971297671,0.2435229055613232,0.396387625086001
48,0.2656993308049461,0.3320825953960749,0.24858301394421073,0.4019415118338671
49,0.26673019534147135,0.3384149765675386,0.25106237592212166,0.40581236564002265
50,0.26768512376955633,0.33556383922428357,0.25136120418863117,0.40678463712416557
51,0.26324397553146234,0.33574632962957685,0.2560663463714965,0.4083263011641193
52,0.2618918061182647,0.3367063964529448,0.2590495136751961,0.4068179340007701
53,0.25980046433222653,0.3364456188617777,0.26405199513128896,0.4084633140705066
54,0.2572696661113824,0.3386664864865163,0.26906077000233264,0.41177449990290405
55,0.2545802765398695,0.33739358216928245,0.2697467236073978,0.4100694962815042
56,0.24994571910451413,0.3390377845841812,0.26967617771606844,0.4104758098825134
57,0.248748407020062,0.34092295030638464,0.26870548306784325,0.4165147893212455
58,0.24857323366181477,0.33813511731469037,0.26585168649865176,0.41675968980371253
59,0.2502952570286269,0.336928145956115,0.2629244705485068,0.4114482696592059
60,0.2529419140461096,0.3414346489270358,0.2592054472905066,0.42160876069881925
61,0.25660633099970653,0.3395816016930646,0.2576206565414992,0.4206419912985856
62,0.26625161323172003,0.34157456314358225,0.25850643616859115,0.42871972273567865
63,0.2644864842482762,0.3412758196712772,0.2562976008219667,0.4321031861772402
64,0.2587016372849442,0.34061378474419235,0.26256963862300225,0.43495346865873163
65,0.2568525602064604,0.3412854262587123,0.26814449137893154,0.4363918817246961
66,0.25746008470497916,0.3429427199304175,0.2730309555989645,0.435698227032131
67,0.26410646472883403,0.3465622534017051,0.2744070079236536,0.43635469810863603
68,0.2716069416493968,0.348974627865203,0.27543309848499825,0.43372114301753195
69,0.2754776008886292,0.35217415194998203,0.27391763591698554,0.4361590759230508
70,0.28753798559693816,0.35196132274287273,0.27231981975785197,0.4360891432138371
71,0.29653243722176403,0.3541821228627585,0.27417970426479715,0.4343051891651761
72,0.29950530677625115,0.3539399501988826,0.2740022913557605,0.4381935860178051
73,0.3092389049196638,0.3586215842240734,0.27453069409674746,0.44133785106906936
74,0.30129406446949486,0.3591385559941934,0.2729600555643067,0.4328598504442758
75,0.29407345803483864,0.35555096280811116,0.2680090546960757,0.4309040371511166
76,0.2948313899942242,0.3619130565358383,0.26878443493524584,0.43863443956571874
77,0.2962724270557089,0.3602801564488815,0.2724256483953423,0.44198028052087
78,0.2790402010233235,0.36009497255658235,0.27732267702696445,0.4435417220700589
79,0.28328003432264626,0.3576341494893952,0.28215708743016443,0.44695251667930036
80,0.28283139563065274,0.3596929764313409,0.28966806985606053,0.452218415009071
81,0.27461115268180963,0.36290875836874126,0.29558044685800516,0.45276764833942823
82,0.2694506371844027,0.361716847732382,0.2945723182516095,0.46179642307892305
83,0.26686962581792506,0.3640429568788467,0.29766874220947126,0.4599593771411517
84,0.2681000948554519,0.36440866537545236,0.2970969755692948,0.45627891566371825
85,0.27406740481634806,0.3668183749862689,0.2961368219377837,0.4556155022940691
86,0.28775381332416416,0.3637785850311453,0.2947171742220484,0.45197181146728976
87,0.29384120296290706,0.3665872172325425,0.2885969958071314,0.4598831448698944
88,0.29943735824611056,0.3661062542951494,0.286754610558396,0.4579150842853357
89,0.2980685402223473,0.36527651466225625,0.2802363669354606,0.46706132990702054
90,0.30067761200643817,0.36695735641964766,0.27251092622777406,0.46252688970397315
91,0.29226981845475325,0.3678178774311154,0.2667777877880467,0.46313993503388834
