mjd,blue_wing_flux,blue_wing_error,core_flux,core_error,red_wing_flux,red_wing_error
47657.0,8.025863595,0.1359957507675648,29.8802648,0.14755559286058392,8.1590581,0.13828677005513434
47657.0,8.3684654882,0.13207726733137992,30.305602,0.13991254780077447,8.3611632,0.133818195696113
47663.0,7.472658008,0.13780195922669314,30.5870512,0.15336140668312612,8.564283577199998,0.14091880208914634
47663.0,7.7106776052,0.14534983040812396,30.0088102,0.16813160414761763,8.499388920000001,0.149486830740493
47663.0,7.906832022800001,0.14211751259210245,31.412582999999998,0.16209535896158409,8.881668,0.14569247443777458
47664.0,7.9302951228000005,0.13274818896440582,29.640455,0.14202263763451797,8.3165749,0.1348727256862795
47665.0,7.934444712,0.12928399530964998,29.485816600000003,0.13432055678767268,8.2291309,0.13083016544128956
47666.0,7.695729760000001,0.12936547883618413,29.163018199999996,0.1347966446427744,8.1077232,0.1309865033229302
47668.0,8.323418148000002,0.12850561747220857,28.5728802,0.13240149882446497,7.9492524,0.12974717863265003
47678.0,8.100702248,0.13158035136281404,28.177225399999998,0.13895601387236178,7.9259496,0.13340577077936022
47711.0,6.545613808100001,0.1354310566756621,24.740293200000004,0.14711319907350803,8.867210364,0.1393042429601568
47713.0,5.392574012,0.12741131568439595,21.901146,0.13005665877463715,7.8225553,0.12900862464158588
47725.0,7.1355351240000005,0.13642327555740918,26.353406400000004,0.14993635326696192,9.81705228,0.14082165513171332
47746.0,6.725398504,0.13244528553809382,21.8442012,0.14210440135646749,8.2119696,0.13635290859255478
47749.0,5.3627119652,0.12666326706024283,18.902366400000002,0.12886254476996176,7.197513600000001,0.12840963008729836
47754.0,5.823132837999999,0.12619260157895787,20.2653012,0.1278439078664228,8.0973624,0.12765899890577867
47757.0,4.979089248,0.1335649070499104,19.976347200000003,0.14513779514601427,7.922138400000001,0.13914204251385706
47758.0,5.092659496,0.13095133550796648,17.973335999999996,0.13695163278061054,8.248066799999998,0.13481676590946098
47759.0,5.2029498944,0.12670893462369573,18.6041508,0.1286002737596402,7.5323292,0.1282720968356127
