lag,core_synergy,red_synergy,blue_synergy
55,0.46219428790534395,0.6354194104318651,0.43734502878632103
56,0.4631270039020308,0.6389558164991992,0.43097888702984294
57,0.46028533517372,0.6358084952865523,0.4246161841076809
58,0.45990434324766744,0.6251830079366136,0.4237321430057264
59,0.4593882897727814,0.617653108683344,0.42484536565134107
60,0.4581237706006183,0.610955296084411,0.42882137993806135
61,0.4601190422313798,0.6177656275619136,0.4265433462984913
62,0.46391406662109774,0.6098016150627487,0.42393627409310475
63,0.45985514763332624,0.6039687142991454,0.42969589334866337
64,0.4583896825605142,0.6023068369831395,0.44127718906799873
65,0.46056153909307707,0.6084813502404114,0.4524930544501338
66,0.4617607034920195,0.6158129327640157,0.4583221752327951
67,0.46629032115490804,0.6157769575971754,0.4671876228264298
68,0.46832554025802486,0.6172300349257488,0.46267124895536765
69,0.47325401321121163,0.6129916713298851,0.45711319430866604
70,0.47504736784419027,0.6097740185060396,0.44744478251805897
71,0.4807296270243404,0.6044016826908211,0.4421667872016196
72,0.4859641753466775,0.6013181582457413,0.44040351304666714
73,0.4884048324683519,0.5992049998967007,0.4454769569866598
74,0.48916112679157936,0.590299768569074,0.45263500067894863
75,0.4910390438305994,0.585276479378107,0.45987472803215956
76,0.49071727757899297,0.5810484095580523,0.46692787749002446
77,0.493585722749717,0.5810086084965232,0.47266681406643407
78,0.489393653503152,0.5769414882111702,0.47197382754341993
79,0.4900149904828438,0.57073281797859,0.4767153954780147
80,0.48808549377607185,0.5723521154507407,0.4828094141046062
81,0.4867198344744324,0.5685845544897893,0.4868106704566013
82,0.4839605085892106,0.5721792329904558,0.4908897296724983
83,0.4819417254435211,0.5750767037139506,0.4967287282674231
84,0.48256460434283305,0.5793301049789104,0.4926173361966678
85,0.48434102851787275,0.5813940107734282,0.48962259067000835
86,0.48106816976693706,0.5806831130809512,0.49054049023415064
87,0.4799055820734281,0.5792956748797682,0.4971526952833223
88,0.4799421862691349,0.572988236129487,0.5006338701497436
89,0.4872849629610293,0.5700545075802369,0.5012487413320929
90,0.4921032181448887,0.5708986132658878,0.5056333568846514
91,0.49465949423019395,0.5735047809582339,0.5030486610472331
92,0.48868484567206816,0.5816225493985268,0.5062581507007188
93,0.4890276173780312,0.5918490493143129,0.5078898559979853
94,0.48813273388255,0.599430801728292,0.5000940599517192
95,0.49023672640268706,0.6014472196256683,0.49496393163206126
96,0.49060949216615085,0.5938372959225777,0.49274470284775823
97,0.49209316878282383,0.5883440861874559,0.49065721955232994
98,0.49388194404653907,0.5791921365373824,0.4945497808970339
99,0.49522419489573377,0.5660664132047829,0.4983543827725722
100,0.492509044345401,0.5518074503316767,0.506362696033295
101,0.49052582997647287,0.5514979128631948,0.5106733640110553
102,0.4866016234334622,0.5410242796649583,0.5162959908337036
103,0.48310571290646337,0.5377107168992142,0.5176442737315408
104,0.4696050394676554,0.5274705079957424,0.5156995333426193
105,0.4673189194224138,0.525073885956726,0.5205389063983387
106,0.45992727087535973,0.5292797774021766,0.5283195050196726
107,0.4580898039174808,0.535969022755591,0.5302947541079401
108,0.45517135226029076,0.5368546099325353,0.5307750962452836
109,0.44899408954665304,0.5450068762358401,0.5311990726074384
110,0.4405489717366032,0.5464287632934809,0.5290784384330772
111,0.44101618319028296,0.5407050368654401,0.5295965815122667
112,0.4383820580691488,0.5434123313344879,0.5234848340703045
113,0.4378570898048787,0.5437900511832771,0.5183658508888539
114,0.4425026658877183,0.5564580918017278,0.5205276244303425
115,0.4494068247341911,0.5666704078982961,0.5218152724441799
116,0.45142496075206323,0.5709732114315978,0.5149197260335634
117,0.4599137022542966,0.5715149828508381,0.5094720534612173
118,0.4712460608236473,0.5755461928396745,0.5067865730550195
